event_name,city_name,date,time,latitude,longitude
Tell in,South Cameronstad,14/04/24,11:30:00,-61.65202698,-127.7662081
Able stay,North Vincentton,24/04/24,15:30:00,-4.759246529,-141.3906647
Fire whether none,Cookfort,21/04/24,12:30:00,-41.75218425,-164.7310467
Hear let speak,New Rachelview,31/03/24,15:00:00,73.12845348,-174.3144683
Morning evening,Simpsonmouth,08/04/24,12:30:00,41.63678724,-11.23210547
Network still camera,New Amandastad,22/03/24,19:30:00,-13.46506686,-30.84532989
Success source,Jameshaven,26/04/24,7:00:00,-59.39081286,-36.45382781
Be until,East Julieport,29/03/24,11:00:00,6.69590914,138.1691019
Mind able magazine,Lake Katherine,05/04/24,23:00:00,-46.45151252,179.0800692
Real gas but,Cooperberg,26/04/24,19:00:00,-80.19055701,69.112656
Build successful democratic article,South Misty,20/03/24,14:30:00,3.839877473,27.20026595
Without though,West Mary,31/03/24,18:00:00,-55.63578373,-115.0118307
The spend cultural,Mathismouth,31/03/24,16:30:00,-14.84180243,-47.40506892
Under difficult rate,Terrenceberg,27/03/24,10:30:00,38.19257048,-150.4392348
Hear,West Brendanport,22/04/24,3:30:00,84.66440053,151.874648
Center network,Lake Sharonshire,26/04/24,18:00:00,23.90941725,52.71203108
Bring new,Perezmouth,19/04/24,22:30:00,89.00913543,-127.4608564
Approach someone book,Harrisside,22/04/24,15:30:00,48.69255803,-149.6061779
Stuff TV,New Aaron,13/03/24,16:30:00,-44.96926031,125.4693893
Hospital campaign tell,West Erika,27/03/24,4:30:00,67.92908052,-16.20194092
Wrong oil,Fernandezland,06/03/24,21:00:00,84.3272369,-7.419388401
Understand price,Port Zachary,17/04/24,4:00:00,49.03782791,123.3956075
Involve describe,Port Jessica,19/03/24,13:30:00,8.621594894,154.8151514
Ground already,Kimview,24/03/24,4:30:00,43.62785448,-36.51854733
Professor per,Jeffreyville,01/04/24,7:00:00,-20.88150721,-113.8668142
Air quickly home,Lawrenceview,16/03/24,13:00:00,-73.22990594,-69.50440271
If responsibility affect threat,Jesusberg,23/04/24,16:00:00,-26.41594131,-121.1434493
Billion many edge,Port Markton,27/03/24,16:00:00,-65.390358,-26.97275268
Democrat seat nor,South Mark,18/03/24,9:30:00,-75.65009019,-139.2858125
Parent recognize,East Teresa,19/03/24,1:00:00,-88.28790044,-162.6553763
Occur surface start,Meyerton,14/04/24,6:30:00,6.737795017,-41.65755708
Exactly approach operation represent,North Jenniferstad,17/04/24,3:00:00,48.91539958,169.6679959
Under describe,North Williamview,15/04/24,11:30:00,11.63930835,-170.5010396
Even continue,Fullerview,09/03/24,21:00:00,87.72581059,15.92932944
Forget music for,Amandamouth,27/04/24,16:30:00,-39.74365177,-24.39254498
Cut tend nation,Wattsview,03/03/24,18:00:00,-9.066199078,-163.5164719
Camera,Kelleyborough,22/03/24,23:30:00,-6.173301323,93.96025794
Physical his,Carlosfort,23/04/24,3:00:00,59.70892668,128.0198019
Respond,Lake Kristina,23/03/24,3:30:00,-56.97856757,143.2761426
Hospital,North Samanthaville,24/04/24,19:30:00,45.710943,107.399514
Stop bit,East Markmouth,17/04/24,23:00:00,82.11377145,-174.1622014
Phone city,Riveraberg,16/03/24,7:30:00,-6.82438216,117.4580947
May analysis range like,Reidshire,21/04/24,20:00:00,-61.89942771,29.1349519
Create success,New Susanmouth,16/03/24,4:30:00,-33.81901258,-69.26618933
National discuss door,Port Latasha,01/03/24,19:30:00,-63.82813604,86.54328467
Whatever create important,Lindseytown,06/03/24,7:30:00,-55.8333049,-153.6733545
Resource case,Kristenchester,03/04/24,5:00:00,-50.02856609,24.40754434
Than sort work,Howardton,10/04/24,20:00:00,-59.37119391,21.48678668
Establish perform,North Lydia,22/04/24,5:30:00,58.86980002,-163.3489536
Condition character,East Jasmine,22/04/24,1:00:00,-45.50464394,-112.0718053
Green option,South Andrew,27/03/24,4:30:00,-87.77987647,-48.19459463
Word impact,West Jacobland,10/03/24,9:00:00,-20.34449982,130.0955633
Off father,Lake Kirsten,08/04/24,4:30:00,-14.93171674,-48.42093734
Character wall catch,Jessicaport,07/04/24,1:30:00,-70.60315568,10.67871777
Their,North Ericfort,03/03/24,5:30:00,-84.00851728,-85.09481204
Decide begin,Dunlapfort,04/03/24,7:00:00,65.21065743,-51.11126115
Structure support choice,Fryland,15/03/24,23:30:00,25.5169968,-173.2257004
Beat under economy treat,Port Michael,13/03/24,11:00:00,-84.68960393,-152.4957539
Look imagine against,Rayville,26/03/24,18:30:00,-69.06369013,16.18700148
Mention happy site,South Tammyside,22/04/24,22:00:00,12.04618546,33.7261858
Over light of,South Natasha,11/03/24,22:30:00,-26.89615496,-96.23530488
Since similar nearly,Smithmouth,17/04/24,13:30:00,-3.920357344,113.5809348
Nor particularly practice,Lake Perryville,10/04/24,12:30:00,-24.60845298,-113.7300607
Act federal,Johnshire,19/04/24,10:00:00,-3.246968292,58.96189447
Down model manager several,South Bryanland,06/04/24,16:30:00,-57.64270843,4.22137252
Fire ball technology,Murphymouth,05/04/24,3:30:00,75.58840065,-113.0875818
Weight perform loss,Bridgetmouth,10/04/24,12:00:00,80.22126402,172.3482569
Effect conference,Lopezmouth,15/04/24,2:30:00,40.62383297,46.04888001
Book me summer,Summerschester,02/04/24,15:30:00,10.58727038,-6.530979087
Religious father future,New Mark,22/04/24,22:00:00,-63.28586031,163.3479983
Organization party notice,New Greg,10/04/24,13:00:00,-74.63377031,-40.37482833
Crime arm,Alexanderbury,31/03/24,20:30:00,-8.637912075,71.08606552
Performance maybe conference,East Ryan,17/04/24,4:30:00,-72.78074827,-162.3392683
Often hot,Lucasshire,05/03/24,20:30:00,78.79589806,76.73251004
Plant PM,Russellmouth,08/04/24,17:00:00,21.25410766,-168.0233171
Officer year structure,Greenburgh,28/04/24,17:00:00,41.52642746,138.7479973
Carry somebody class,Matthewstad,14/04/24,23:30:00,66.55497534,-79.81420223
South send,Thompsonborough,30/03/24,4:00:00,-42.20725911,24.74998517
Safe at,South Jesseport,17/04/24,5:30:00,15.37673887,160.6473223
Party development available,Port Alexander,15/03/24,23:30:00,-49.96912692,5.613567049
Run mission budget,South Brittany,13/03/24,8:30:00,-1.706964941,1.112971665
Tv number,Patrickville,26/04/24,19:30:00,-44.67174919,8.744567508
Also during,Walkerborough,08/03/24,20:00:00,-81.69076572,88.33743021
